name,kind,n_used,ate_kfold_shuffled,ate_tss,ate_delta,ci_width_kfold,ci_width_tss,sig_kfold,sig_tss,ci_width_delta,sig_flipped
whoop_cycle_max_hr,continuous,552,0.3086326222275087,-8.464641252763547,-8.773273874991055,13.127228802744659,11.302523284298712,False,True,-1.8247055184459473,True
low_stress_duration_min,continuous,552,-5.728096131657723,-7.787934220163626,-2.059838088505903,17.223333795620867,20.5212514752772,False,False,3.297917679656333,False
mfp_fat_g,continuous,552,7.602239492719094,-2.4156403255144303,-10.017879818233524,10.926649468592982,10.648614991198025,True,False,-0.27803447739495724,True
active_seconds,continuous,552,2.7276636431113137,-7.3096871821039935,-10.037350825215308,11.621334740589235,9.623781784691104,False,True,-1.997552955898131,True
mfp_sodium_mg,continuous,552,-1.6599011583182166,-10.28547901221947,-8.625577853901254,15.18964928508463,16.62610211828654,False,True,1.4364528332019084,True
carb_pct,continuous,552,-3.6082933483455206,-40.25652367820661,-36.64823032986109,12.647262201134446,35.16905446148152,False,True,22.521792260347077,True
mfp_sugar_g,continuous,499,5.826175073119597,3.4297729494655096,-2.396402123654087,13.086317980316938,15.412783803847217,False,False,2.3264658235302793,False
total_kilocalories,continuous,544,1.3548765339986337,-16.46673918849239,-17.821615722491025,12.425234866667338,17.400720076607186,False,True,4.975485209939848,True
high_stress_duration_min,continuous,343,2.4428164711629563,2.038752806328642,-0.4040636648343141,20.633462391667486,16.528450694250374,False,False,-4.105011697417112,False
mfp_carbs_g,continuous,552,-7.2815909656496425,-5.9582363576203905,1.323354608029252,11.799718994455267,16.971612741926652,True,False,5.171893747471385,True
max_anaerobic_te,continuous,465,1.9867173043448196,-1.5449621704546639,-3.5316794747994837,13.292898308390546,13.13805500011043,False,False,-0.15484330828011572,False
active_kilocalories,continuous,412,1.7992505382721358,-8.771711158432064,-10.570961696704199,14.953706985940405,19.43921814040717,False,False,4.485511154466765,False
lap_pace_cv,continuous,471,1.3617216174410691,-28.09289595320039,-29.45461757064146,14.663424473660042,51.29611061855779,False,True,36.63268614489775,True
moderate_intensity_minutes,continuous,471,1.7173947060793353,-38.95980186945037,-40.6771965755297,14.48834494482803,47.88158219590589,False,True,33.39323725107786,True
whoop_workout_count,continuous,430,0.3419174047614951,2.6330002365944325,2.2910828318329375,14.12526814925952,17.997828180731542,False,False,3.8725600314720214,False
consecutive_run_days,continuous,295,1.0092684003523225,-4.434509271892901,-5.443777672245224,25.317081683366013,22.665761604730662,False,False,-2.651320078635351,False
highly_active_seconds,continuous,343,0.40205185823564743,-0.9307839954031075,-1.332835853638755,18.465332491263432,20.04223138675114,False,False,1.5768988954877088,False
eight_sleep_room_temp,continuous,343,0.0948729971417083,2.410848525764561,2.3159755286228525,18.069511321268436,16.664554431381752,False,False,-1.4049568898866838,False
total_activity_calories,continuous,343,3.520876407249027,6.0895885616901975,2.5687121544411706,20.591827589818752,23.715593604332422,False,False,3.12376601451367,False
avg_stress_level,continuous,343,1.2021653443092197,1.35343559511537,0.1512702508061503,15.356313661690626,13.855145571350851,False,False,-1.5011680903397746,False
max_activity_hr,continuous,343,5.14165379563487,8.685390170467441,3.543736374832571,15.613447258557823,26.655705667215603,False,False,11.04225840865778,False
floors_ascended,continuous,343,11.099983701854518,5.819388952563797,-5.280594749290721,19.966312355822293,21.981955090956472,True,False,2.015642735134179,True
days_since_rest_day,continuous,343,3.925517506811746,1.714075446062224,-2.2114420607495218,21.824384115064827,17.926874368646278,False,False,-3.8975097464185495,False
lap_hr_range,continuous,343,0.20314816089112558,2.3470297242272586,2.1438815633361332,17.460685867923342,18.368606623577264,False,False,0.9079207556539224,False
mfp_fiber_g,continuous,552,-1.9765720379248526,7.753072717825711,9.729644755750563,13.106952769091379,29.468352906151505,False,False,16.361400137060127,False
whoop_strain_per_hour_to_bed,continuous,422,0.24487579312232646,-2.0251912411119046,-2.270067034234231,13.152846266467323,12.51025811876417,False,False,-0.6425881477031528,False
avg_whoop_workout_hr,continuous,422,3.5005956099118314,-1.0194872560029657,-4.520082865914797,14.03020047966767,12.422219871118694,False,False,-1.607980608548976,False
rolling_3d_training_load,continuous,400,4.4529448694157905,0.7449308049283923,-3.708014064487398,15.226264200549187,16.674226473079745,False,False,1.4479622725305585,False
last_workout_end_to_sleep_min,continuous,400,3.808256086749402,3.9406836271538324,0.1324275404044304,14.128994878002931,14.571611123029328,False,False,0.4426162450263966,False
total_steps,continuous,46,-7.481564173602517,-33.165720384717034,-25.684156211114516,100.11366054323723,168.27258523751368,False,False,68.15892469427645,False
vigorous_intensity_minutes,continuous,368,2.6235542962213927,73.95995545701376,71.33640116079238,13.22183894843646,79.27994174791138,False,True,66.05810279947492,True
total_activity_distance_km,continuous,552,-4.800492376937477,-0.9833273963125081,3.817164980624969,16.684515311512207,18.076526279822083,False,False,1.3920109683098758,False
total_elevation_gain_m,continuous,552,-3.0133836495669195,5.05048534389872,8.06386899346564,14.099124648761324,19.910542653947044,False,False,5.81141800518572,False
total_training_load,continuous,552,-1.3310266234307964,7.314086322416447,8.645112945847243,14.337522876495303,20.40442907937905,False,False,6.066906202883747,False
total_whoop_strain,continuous,389,5.12850473198436,23.984659823649853,18.856155091665492,14.505099375912708,50.64459720441114,False,False,36.139497828498435,False
avg_activity_hr,continuous,424,5.426322322990805,-14.013304151752205,-19.439626474743008,14.605373252007354,39.06312024920983,False,False,24.457746997202477,False
max_stress_level,continuous,454,8.06464768662638,-42.98151167277944,-51.04615935940582,14.716312317507175,61.49785447674163,True,True,46.781542159234455,False
days_since_transition,continuous,552,4.526974262987861,5.752705973603526,1.2257317106156655,15.514706916618788,23.675103028405744,False,False,8.160396111786955,False
max_aerobic_te,continuous,549,-19.63834038368692,-17.366013016451426,2.2723273672354942,11.265453267884517,13.451003438597716,True,True,2.1855501707131992,False
total_whoop_kilojoule,continuous,549,-16.81767553568579,-14.372947687498927,2.4447278481868633,11.516944054968917,11.587188508236746,True,True,0.07024445326782924,False
days_since_hard_workout,continuous,340,-0.25342426407436075,-7.921356771025311,-7.667932506950951,14.780168231369837,23.410663565926654,False,False,8.630495334556818,False
total_activity_duration_min,continuous,340,4.368600518550216,4.892053455065981,0.5234529365157652,14.771264617784468,19.837873519247065,False,False,5.0666089014625975,False
max_whoop_workout_hr,continuous,112,-8.990923504820213,-6.943021920182711,2.0479015846375015,46.86097039399764,93.14320525160683,False,False,46.28223485760919,False
protein_pct,continuous,552,2.0172641046837976,-1.439762755262025,-3.4570268599458225,11.659572877248785,36.09753973217518,False,False,24.437966854926394,False
